A1,A2,A2a,A2a1,A3_0,A3_1,A3_2,A3_3,A3_4,A4_0,A4_1,A4_2,A4_3,A4_4,A4_5,A4_6,A4_7,A4_8,A4_9,A5,A5a,A6,A61,B1,B1a,B2,B2a,B3,B3a,B4_0,B4_1,B4_2,B4_3,B4_4,B4_5,B4_6,B4_7,B4_8,B4_9,B4_10,B4_11,B5,B5a,B6,B6a,B7,B7a,B8,B8a,B9,B9a,B10,B10a,B11,B111_0,B111_1,B111_2,B111_3,B111_4,B111_5,B111_6,B111_7,B111_8,B111_9,B12,B121,B122,B123,B124,B13,B131,B132_0,B132_1,B132_2,B132_3,B132_4,B132_5,B132_6,B132_7,B132_8,B132_9,B132_10,B132_11,B132_12,B132_13,B132_14,B132_15,C1,C1a,C1b,C1c,C1d,C2,C2a_0,C2a_1,C2a_2,C2a_3,C2a_4,C2a_5,C2a_6,C2b_0,C2b_1,C2b_2,C2b_3,C2b_4,C2b1,C3,C3a,C4,C5_0,C5_1,C5_2,C5_3,C5_4,C5_5,C5_6,C6,C71,C72,C73,C74,C75,C71a,C72a,C73a,C74a,C75a,C8,C9,C9a,E1,E2,E2Y,E2M,E3,E41,E42,E42a,E5,E6,E7a,E7b,CODE,YY,CC,CITY,ENERGY_CODE,WI
1,2,,.,0,1,,,,0,1,,,,,,,,,2,,1,,4,.,3,.,1,.,0,,1,,1,,,1,,,,,4,.,3,.,3,.,4,.,2,.,3,.,2,9,,,,,,,,,,2,,2,1,,2,,0,1,,,,,,,,,,,,,,,2,58.8,3,,,1,9,,,,,,,9,,,,,,4,.,3,0,1,,,,,,1,1,1,,1,1,,,,,,1,4,.,1,9,.,.,2,13,1,,1,1,1,2,110043,2013,1598,1,1,58
2,2,,.,0,1,,1,,0,1,1,1,,,,,,,2,,1,,1,.,2,.,6,10,0,,,,,,,,,1,1,1,2,.,3,.,3,.,4,.,4,.,7,.,2,9,,,,,,,,,,2,,2,1,2,2,1,0,1,,,,1,,,,,,,,,,,1,112,,,,1,9,,,,,,,9,,,,,,3,.,2,0,1,,,,,,1,1,1,,1,1,,,,,,3,6,.,1,7,.,.,2,8,1,,1,1,1,2,110044,2016,1998,1,1,58
1,1,1,1,0,1,,,,0,1,,,,,,,,,2,,1,,7,.,3,.,2,.,0,,,1,1,1,1,,,,,,3,.,4,.,3,.,4,.,3,.,2,.,1,0,,,,,,,,1,,2,,2,1,2,2,1,0,1,1,,,,,,,1,,,,,,,2,64,3,,,1,9,,,,,,,9,,,,,,3,.,3,0,1,,1,,,,5,,1,1,1,1,,,,,,2,4,.,1,10,38,3,1,13,1,,1,1,1,2,110045,2011,1798,1,1,58
1,2,,.,0,1,,,,0,1,,1,,,,,,,2,,1,,3,.,4,.,3,.,0,,,,1,1,1,1,1,,,,5,.,5,.,5,.,7,.,6,.,5,.,1,0,,1,,,,,1,,,2,,2,5,2,2,1,0,1,,,,,,,,,,,,,,,2,90,3,,,1,9,,,,,,,9,,,,,,5,.,4,0,1,,1,,,,5,1,1,,1,1,,,,,,6,11,.,1,8,.,.,2,,1,,3,1,1,2,110046,2016,1998,1,1,58
1,2,,.,0,1,,,,0,1,,,,,,,,,2,,1,,3,.,3,.,3,.,0,,,,1,1,,,,1,1,,4,.,1,.,1,.,5,.,8,.,6,.,2,9,,,,,,,,,,2,,2,,2,2,,0,1,,,,,,,,,,,,,,,2,75,3,,,1,9,,,,,,,9,,,,,,3,.,1,0,1,,,,,,2,1,1,1,1,1,,,,,,2,6,.,1,9,.,.,3,,,,1,1,1,2,110047,2015,1987,1,1,58
1,2,,.,0,1,,,,0,1,,,,,,,,,2,,2,6,1,.,1,.,5,.,0,1,,,,,,,,,,,,.,3,.,4,.,2,.,1,.,8,.,1,0,,1,,,,,,,,2,,2,,2,2,,0,,,,,,,,,,,,,,,1,,,,,,,9,,,,,,,9,,,,,,2,.,1,0,1,,,,,,1,1,1,,1,1,,,,,,1,2,.,1,10,39,12,2,13,1,,1,1,1,2,110049,2005,1597,1,1,58
1,2,,.,0,1,,,,0,,1,1,,,,,,,2,,2,2,2,.,3,.,4,.,0,,,,1,,,1,,,,,4,.,2,.,4,.,4,.,3,.,7,.,1,0,,1,,,,,1,,,2,,2,5,2,2,1,0,1,,,,,,,,,,,,,,,1,60,,,,1,9,,,,,,,9,,,,,,5,.,2,0,1,,,,,,1,1,1,,1,1,,,,,,1,8,.,1,9,.,.,1,13,1,,4,1,1,2,110050,2016,1987,1,1,58
1,2,,.,0,1,,,,0,1,,1,,,,,,,2,,2,3,9,57,4,.,3,.,0,,,,1,,,,1,,,,4,.,4,.,3,.,4,.,,.,8,.,1,0,,,,,,,1,,,2,,2,4,2,2,,0,1,,,,,,,,,,,,,,,,,,,,1,9,,,,,,,9,,,,,,5,.,6,0,1,,,,,,1,1,1,,1,1,,,,,,,7,.,1,9,.,.,,13,1,,,1,1,2,110051,2009,1794,1,1,58
1,2,,.,0,1,,,,0,1,,1,,1,,,,,2,,1,,6,.,2,.,4,.,0,,,,,,,,,1,1,1,2,.,3,.,3,.,3,.,3,.,5,.,2,9,,,,,,,,,,1,1,,,,2,1,0,1,,,,,,,,1,,1,,,,,1,72,,,,2,0,,,1,1,1,,0,,,1,,,3,.,1,0,1,,1,,,,1,1,1,,1,2,,,,,3000,2,6,.,1,8,.,.,3,13,1,,1,1,2,1,110053,2010,1987,1,1,58
1,2,,.,0,1,,,,0,1,,,,1,,,,,2,,1,,6,.,4,.,5,.,0,,,,1,,,,,,,,4,.,7,.,5,.,5,.,8,.,3,.,1,0,,,,,,,1,,,1,1,,,,2,1,0,1,,,,,,,,1,,,,,,,1,80,,,,1,9,,,,,,,9,,,,,,5,.,6,0,1,1,,1,,,4,1,1,,1,1,,,,,,4,7,.,1,10,39,8,1,13,1,,1,1,2,1,110055,2013,1987,1,1,58
2,2,,.,0,1,,,,0,1,,,,1,,,,,2,,1,,5,.,2,.,5,.,0,,,,,,1,1,,1,,,3,.,4,.,,.,4,.,4,.,3,.,,9,,,,,,,,,,1,3,,,,,,9,,,,,,,,,,,,,,,,2,63,2,,,1,9,,,,,,,9,,,,,,3,.,1,0,1,1,1,,,,5,1,1,,1,2,,,,,2200,6,8,.,1,10,40,12,3,13,1,,1,1,1,2,110057,2011,1798,1,1,58
1,2,,.,0,1,,,,0,1,,1,,,1,,,,2,,1,,9,40,4,.,1,.,0,,,,1,1,1,1,1,,,,3,.,2,.,1,.,2,.,,.,8,.,2,9,,,,,,,,,,2,,1,1,2,2,1,0,1,,,,,,,,,,,,,,,2,50,3,,,1,9,,,,,,,9,,,,,,2,.,3,0,1,,,,,,1,1,1,,1,1,,,,,,1,2,.,1,9,.,.,2,13,1,,3,1,1,2,110058,2002,1598,1,1,58
1,2,,.,0,1,,1,,0,1,1,,,,,,,,2,,1,,9,68,4,.,2,.,0,,,,,1,,,1,1,1,,3,.,5,.,8,.,4,.,4,.,2,.,2,9,,,,,,,,,,2,,2,1,2,2,1,0,1,,,,,,,,,,,,,1,1,2,,3,,,1,9,,,,,,,9,,,,,,9,.,6,1,,,,,,,,1,1,,1,1,,,,,,6,9,.,1,8,.,.,2,11,1,,1,1,2,1,110059,2004,1794,1,1,58
2,2,,.,0,1,,,,0,1,,,,1,,,,,2,,1,,,.,3,.,4,.,1,,,,,,,,,,,,3,.,2,.,5,.,5,.,3,.,,.,1,0,,1,,,,,,,,1,2,,,,,,9,,,,,,,,,,,,,,,,1,58,,,,1,9,,,,,,,9,,,,,,4,.,3,0,1,,,,,,,1,1,,1,1,,,,,,6,9,.,1,10,42,3,,13,1,,4,1,1,2,110061,2007,1794,1,1,58
1,2,,.,0,1,,,,0,1,,,,,,,,,2,,1,,3,.,2,.,5,.,0,,,,1,1,,1,,,,,3,.,5,.,3,.,5,.,5,.,4,.,1,0,,1,,,,,1,1,,2,,2,1,,2,1,0,1,,,,,,,,,,,,,,,1,,,,,1,9,,,,,,,9,,,,,,4,.,4,0,1,1,,1,,,5,1,1,,1,1,,,,,,4,6,.,1,10,.,.,1,13,1,,1,1,2,1,110062,2014,1798,1,1,58
1,2,,.,0,1,,,,0,1,,,,,,,,,2,,2,4,5,.,1,.,,.,0,,,,,,,,,,,1,2,.,3,.,2,.,1,.,1,.,,.,,9,,,,,,,,,,2,,2,,2,2,1,0,1,,,,,,,,,,,,,,,,,,,,1,9,,,,,,,9,,,,,,1,.,,0,,1,,,,,1,1,1,,1,1,,,,,,3,1,.,1,10,40,2,1,13,1,,1,1,1,,110063,2002,1834,1,1,58
1,2,,.,0,1,,,,0,1,1,,,,1,,,,2,,1,,7,.,3,.,1,.,0,,,1,,1,,,1,1,,,5,.,2,.,1,.,8,.,8,.,4,.,2,9,,,,,,,,,,2,,2,1,2,2,1,0,1,,,,,,,,1,,,,,,,2,63,,,,1,9,,,,,,,9,,,,,,4,.,1,0,1,,,,,,1,1,1,,1,1,,,,,,3,10,.,1,10,42,1,3,13,1,,1,1,1,2,110064,2011,1798,1,1,58
1,2,,.,0,1,,,,0,1,,,,,,,,,2,,1,,7,.,4,.,3,.,0,,,1,1,1,,1,1,,,,4,.,4,.,3,.,3,.,3,.,2,.,1,0,,,,,,1,1,1,,2,,2,1,2,2,1,0,1,,,,,,,,,,,,,,,1,60,,,,1,9,,,,,,,9,,,,,,3,.,4,0,1,,,,,,2,1,1,,1,1,,,,,,5,9,.,1,10,38,4,2,11,1,,3,1,1,2,110065,2011,1598,1,1,58
1,2,,.,0,1,,,,0,,,,,1,,,,,2,,2,6,,.,,.,3,.,0,,,,1,1,1,1,1,1,1,,5,.,5,.,4,.,5,.,7,.,4,.,1,0,1,1,,,1,1,1,,,1,1,,,,2,1,0,1,,,,,,,,,,,,,1,,1,68,,,,2,0,,1,,,,,0,,1,,,,9,.,4,0,1,1,1,,,,5,1,1,,2,1,,,,2500,,5,8,.,1,8,.,.,2,13,1,,1,1,2,1,110066,1999,2398,1,1,58
1,2,,.,0,1,,,,0,1,1,,,,,,,,2,,1,,9,43,3,.,3,.,0,,,,1,1,,,,1,,,2,.,4,.,3,.,5,.,5,.,3,.,2,9,,,,,,,,,,2,,2,1,2,2,1,0,1,1,1,,,,,,,,,,,,,1,82,,,,1,9,,,,,,,9,,,,,,3,.,6,0,1,1,1,,,,1,1,1,,1,1,,,,,,5,7,.,1,10,41,5,2,13,1,,1,1,2,1,110068,2009,1998,1,1,58
1,2,,.,0,1,,,,0,1,,,,1,,,,,2,,1,,9,89,3,.,2,.,0,,,,1,1,1,1,1,,,,5,.,5,.,4,.,4,.,3,.,3,.,1,0,,1,,,1,1,1,,,1,2,,,,,,9,,,,,,,,,,,,,,,,1,60,,,,1,9,,,,,,,9,,,,,,5,.,3,0,1,,,,,,1,1,1,,1,1,,,,,,6,4,.,1,8,.,.,3,13,1,,1,1,1,2,110069,2002,1794,1,1,58
1,2,,.,0,1,,,,0,1,,,,,,,,,2,,2,2,2,.,3,.,4,.,0,,,,1,,,,,,,,4,.,2,.,2,.,3,.,3,.,4,.,1,0,,1,,,,,1,,,2,,2,3,2,2,1,0,1,1,,,,,,,,,,,,,,1,,,,,1,9,,,,,,,9,,,,,,3,.,1,0,1,,,,,,2,1,1,,1,1,,,,,,2,5,.,1,9,.,.,3,13,2,1,1,1,1,2,110070,2010,2362,1,1,58
1,2,,.,0,1,,,,0,1,,,,,,,,,2,,1,,9,80,3,.,1,.,0,1,1,,,,,,,,,,1,.,2,.,3,.,4,.,3,.,,.,1,0,,,,,,,,1,,2,,,,,2,,0,,,,,,,,,,,,,,,1,1,60,,,,1,9,,,,,,,9,,,,,,2,.,5,0,1,1,,,,,5,1,1,,1,1,,,,,,5,6,.,1,10,39,5,2,13,1,,1,1,1,2,110071,2002,1598,1,5,58
1,2,,.,0,1,,,,0,1,,,,,,,,,2,,2,6,7,.,2,.,5,.,0,,,,,,1,1,,,,,2,.,2,.,1,.,3,.,2,.,3,.,1,0,,,,,,1,1,1,,2,,2,2,3,2,1,0,1,,,,,,,,1,,,,,,,2,50,,,,1,9,,,,,,,9,,,,,,2,.,4,0,1,,,,,,1,1,1,,1,1,,,,,,6,2,.,1,10,39,9,2,13,1,,1,1,2,1,110072,2001,1598,1,1,58
1,2,,.,0,1,,,,0,1,,,,,,,,,2,,2,6,9,70,3,.,1,.,0,,,,1,,,,,,,,3,.,3,.,7,.,2,.,2,.,,.,1,0,,,,,,,,1,,2,,2,4,2,2,2,0,1,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,0,,1,,,,4,.,3,0,1,,,,,,1,1,1,,1,1,,,,,,1,3,.,1,10,39,7,1,12,,,1,1,1,,110073,2000,1587,1,1,58
2,2,,.,0,1,,,,0,1,,,,,,,,,2,,2,6,4,.,,.,,.,0,,,1,1,,,,,,,,2,.,2,.,,.,2,.,1,.,,.,1,0,,1,,,,,,1,1,2,,2,1,2,2,4,0,1,1,1,,1,,,,,,,,,,,1,10,,,,1,9,,,,,,,9,,,,,,2,.,,0,1,,,,,,,1,1,,1,1,,,,,,1,1,.,,10,.,.,4,,2,3,1,1,1,2,110074,2000,1497,1,1,58
1,2,,.,0,1,,,,0,1,,,,,,,,,2,,1,,5,.,4,.,4,.,0,,1,,1,,,1,,,,,4,.,5,.,4,.,5,.,6,.,4,.,1,0,,1,,,,,1,1,,2,,2,5,2,2,,0,1,1,,,,,,,,,,,,,,2,48,3,,,1,9,,,,,,,9,,,,,,4,.,2,0,1,,,,,,2,1,1,,1,1,,,,,,5,8,.,1,9,.,.,1,13,1,,1,1,1,2,110075,2012,1598,1,1,58
1,2,,.,0,1,,,,0,,1,,,1,,,,,2,,2,5,8,.,2,.,5,.,0,,,1,,,,,,,,,3,.,3,.,1,.,3,.,3,.,2,.,1,0,,,,,1,,,,,1,2,,,,1,,9,,,,,,,,,,,,,,,,2,30,2,,,1,9,,,,,,,9,,,,,,3,.,1,0,,1,,,,,2,1,1,2,1,1,,,,,,4,6,.,1,8,.,.,2,13,1,,1,1,2,1,110076,2001,1598,1,1,58
2,2,,.,0,1,,,,0,1,,,,,,,,,1,1,1,,5,.,1,.,,.,1,,,,,,,,,,,,1,.,1,.,1,.,1,.,1,.,6,.,2,9,,,,,,,,,,2,,1,,,2,,0,1,,,,,,,,,,,,,,,1,43,,,,1,9,,,,,,,9,,,,,,1,.,1,0,1,1,,,,,2,1,1,1,1,1,,,,,,1,1,.,1,9,.,.,2,,2,12,1,1,1,2,110081,1993,1840,1,1,58
1,2,,.,0,1,,,,0,1,,,,,,,,,2,,1,,1,.,4,.,3,.,1,,,,,,,,,,,,5,.,2,.,1,.,5,.,4,.,,.,1,0,,,,,,,,1,,2,,2,4,2,2,1,0,1,,,,,,,,,,,,,,,2,70,4,,,1,9,,,,,,,9,,,,,,5,.,6,0,1,,,,,,2,1,1,,1,1,,,,,,2,7,.,1,10,39,12,2,13,1,,1,1,2,1,110083,2010,1798,1,1,58
1,2,,.,0,1,,,,0,1,,,,,,,,,2,,1,,1,.,3,.,3,.,0,,,,,1,1,,1,1,,,4,.,5,.,3,.,4,.,5,.,6,.,2,9,,,,,,,,,,2,,2,4,2,2,1,0,,,,,,,,,1,,,,,1,,2,76,3,,,1,9,,,,,,,9,,,,,,4,.,2,0,1,,,,,,2,1,1,,1,1,,,,,,5,8,.,1,8,.,.,2,13,1,,1,1,1,2,110084,2017,1798,1,1,58
