A1,A2,A2a,A2a1,A3_0,A3_1,A3_2,A3_3,A3_4,A4_0,A4_1,A4_2,A4_3,A4_4,A4_5,A4_6,A4_7,A4_8,A4_9,A5,A5a,A6,A61,B1,B1a,B2,B2a,B3,B3a,B4_0,B4_1,B4_2,B4_3,B4_4,B4_5,B4_6,B4_7,B4_8,B4_9,B4_10,B4_11,B5,B5a,B6,B6a,B7,B7a,B8,B8a,B9,B9a,B10,B10a,B11,B111_0,B111_1,B111_2,B111_3,B111_4,B111_5,B111_6,B111_7,B111_8,B111_9,B12,B121,B122,B123,B124,B13,B131,B132_0,B132_1,B132_2,B132_3,B132_4,B132_5,B132_6,B132_7,B132_8,B132_9,B132_10,B132_11,B132_12,B132_13,B132_14,B132_15,C1,C1a,C1b,C1c,C1d,C2,C2a_0,C2a_1,C2a_2,C2a_3,C2a_4,C2a_5,C2a_6,C2b_0,C2b_1,C2b_2,C2b_3,C2b_4,C2b1,C3,C3a,C4,C5_0,C5_1,C5_2,C5_3,C5_4,C5_5,C5_6,C6,C71,C72,C73,C74,C75,C71a,C72a,C73a,C74a,C75a,C8,C9,C9a,E1,E2,E2Y,E2M,E3,E41,E42,E42a,E5,E6,E7a,E7b,CODE,YY,CC,CITY,ENERGY_CODE,WI
1,2,,.,0,1,,,,0,1,,,,,,,,,2,,1,,3,.,3,.,5,.,0,,,,1,,,,,,,,2,.,5,.,5,.,2,.,2,.,,.,,9,,,,,,,,,,2,,2,,,2,,0,,,,,1,,,,,,,,,,,2,,,,,,9,,,,,,,9,,,,,,3,.,1,0,1,,,,,,1,1,1,,1,1,,,,,,4,5,.,1,10,42,.,1,11,1,,1,1,18,,110023,2007,1794,1,1,58
1,2,,.,0,,1,,,0,,1,,,,,,,,2,,1,,9,51,4,.,2,.,0,,,,1,,,,,1,,,4,.,4,.,3,.,3,.,2,.,1,.,1,0,,1,,,1,1,,,,2,,,,,2,1,0,1,1,,,,,,,1,,,,,,,2,89.5,3,,,1,9,,,,,,,9,,,,,,5,.,6,0,,,1,,,,1,1,1,2,1,1,,,1000,,,2,7,.,,8,.,.,2,13,1,,1,1,1,,110025,2007,1998,1,1,58
1,2,,.,0,1,,,,0,,,,,1,,,,,2,,1,,2,.,3,.,5,.,0,,,,1,1,1,,1,1,,,4,.,6,.,3,.,4,.,5,.,6,.,1,0,,,,,,1,1,,,1,1,,,,2,,0,1,,1,,,,,,,,,,,,,2,70,,,,1,9,,,,,,,9,,,,,,5,.,3,0,1,1,1,,,,5,1,1,,1,2,,,,,3100,3,7,.,1,9,.,.,3,11,1,,1,1,18,2,110026,2016,1798,1,1,58
1,2,,.,0,1,,,,0,1,,,,1,,,,,1,2,1,,5,.,2,.,3,.,0,,,,,1,1,,,,,,1,.,3,.,3,.,2,.,2,.,8,.,2,9,,,,,,,,,,1,1,,,,2,,0,1,1,1,,,,,,,,,,,,,1,,,,,2,0,,1,,1,,,1,,,,,,2,.,6,0,1,,,,,,1,1,1,,1,2,,,,,1500,6,3,.,1,8,.,.,4,12,1,,5,1,2,1,110029,2010,1987,1,1,58
2,2,,.,0,1,,,,0,1,,,,,,,,,2,,2,4,3,.,2,.,5,.,0,,,,,,,,,,1,,2,.,3,.,2,.,2,.,1,.,4,.,1,0,,,,,,,1,1,,2,,,1,2,2,,0,,,,,,,,,1,,,,,,,1,60,,,,,9,,,,,,,9,,,,,,2,.,4,0,1,,,,,,1,1,1,,1,1,,,,,,,4,.,1,10,40,11,2,12,1,,1,3,1,2,110033,2013,1798,1,1,58
1,2,,.,0,1,,,,0,1,,,,,,,,,2,,1,,4,.,3,.,,.,1,,,,,,,,,,,,4,.,,.,,.,,.,,.,,.,,9,,,,,,,,,,2,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,9,,,,,,,.,,1,,,,,,,,1,1,,1,1,,,,,,4,4,.,1,9,.,.,1,13,1,,3,1,1,2,110036,2012,1798,1,1,58
1,2,,.,0,1,,,,0,1,,,,,,,,,2,,2,5,9,42,5,.,3,.,0,1,,,,,1,1,,,,,4,.,1,.,1,.,4,.,3,.,2,.,1,0,,1,,,1,1,1,,,2,,2,1,2,2,1,0,1,1,,,,,,,,,,,,,,1,30,,,,1,9,,,,,,,9,,,,,,7,.,2,0,1,1,1,1,,,5,1,1,,1,1,,,,,,5,5,.,1,10,42,5,4,13,2,5,1,1,1,2,110037,1999,2164,1,1,58
1,2,,.,0,1,,,,0,1,,,,,,,,,2,,1,,9,60,3,.,2,.,0,,,,,1,1,1,1,1,,,4,.,2,.,4,.,4,.,5,.,4,.,2,9,,,,,,,,,,2,,2,1,2,2,1,0,1,,,,,,,,,,,,,,,1,80,,,,1,9,,,,,,,9,,,,,,7,.,4,0,1,,,,,,1,1,1,1,1,1,,,,,,5,3,.,1,10,41,9,1,13,1,,1,1,2,1,110038,2005,1998,1,1,58
1,2,,.,0,1,,,,0,1,,,,,,,,,1,1,1,,3,.,3,.,3,.,0,,,,,,,,1,,,1,3,.,3,.,3,.,3,.,2,.,8,.,1,0,1,1,,,,1,,,,2,,2,5,2,2,1,0,1,,,,,,,,,,,,,,,1,,,,,1,9,,,,,,,9,,,,,,3,.,2,0,1,1,,,,,5,1,1,,1,1,,,,,,2,6,.,1,9,.,.,1,12,1,,4,1,2,1,110040,2015,1987,1,1,58
1,2,,.,0,1,,,,0,1,,,,1,,,,,2,,1,,8,.,4,.,3,.,0,,,,1,1,1,1,1,,,,5,.,2,.,1,.,5,.,4,.,6,.,1,0,,1,,,,,1,,,1,2,,,,2,1,0,1,,,,,,,,1,,,,,,,2,75,3,,,2,0,,,1,,,,0,,1,,,,5,.,5,0,1,1,,,,,1,1,1,,1,1,,,,,,6,8,.,1,9,.,.,2,13,1,,3,1,1,2,110042,2011,1987,1,1,58
